id,type,text1,text2,text3,notes
sw_gozanti,SHIP,"The Gozanti-class cruiser was a class of heavily armored starship used by various factions. In its use with the Galactic Empire, it was known generally as the Imperial freighter.",,,
sw_viscount,SHIP,The Viscount-class Star Defender was a very large warship series developed by the Mon Calamari for use by the New Republic Defense Fleet.,,,
sw_starhawk,SHIP,"The Starhawk-class Battleship Mark I was a type of battleship in service with the New Republic Defense Fleet. Like all the ships constructed at the Nadiri Dockyards, they were constructed from disassembled captured Imperial spacecraft.",,,
sw_mc80_home_one,SHIP,"The MC80 Home One type Star Cruiser was one of the several MC80 Star Cruiser designs built by the Mon Calamari.Originally fielded before the Galactic Civil War as civilian vessels, they were modified by the Rebel Alliance, and served in command ship and battleship roles in the Alliance Fleet.",,,
sw_mc80_liberty,SHIP,The MC80 Liberty type Star Cruiser was an early type of Mon Calamari Star Cruiser put into service for the Rebel Alliance during the Galactic Civil War.,,,
sw_mc80b,SHIP,The MC80B Star Cruiser was a Mon Calamari warship produced for the fledgling New Republic fleet. The Mon Remonda was the first MC80B Star Cruiser.,,,
sw_nebula,SHIP,"The Nebula-class Star Destroyer was the largest, most powerful warship design in the New Republic's New Class Modernization Program. Although it was only 1,040 meters long , the Nebula-class was built to be a match for an Imperial II.",,,
sw_assault_frigate_mk2,SHIP,"The Assault Frigate Mark II was a light warship that saw extensive service with the Rebel Alliance during the Galactic Civil War. The Assault Frigate Mk. II was a further development of the Dreadnaught-class heavy cruiser modification project, which produced the Mark I Assault Frigate.",,,
sw_mc40a,SHIP,The MC40a light cruiser or Mon Calamari Light Cruiser was a Mon Calamari Star Cruiser design. It was equipped with powerful shields for a vessel of its size.,,,
sw_mc30c,SHIP,"The MC30c frigate was a class of Mon Calamari-designed warship, utilized by the Rebel Alliance during the Galactic Civil War. Considered one of the most powerful mid-level frigates used in the war, the MC30c frigates utilized proton torpedoes as well as turbolaser batteries to bombard larger enemy starships in combat.",,,
sw_nebulon_b,SHIP,"The EF76 Nebulon-B escort frigate was a frigate manufactured by Kuat Drive Yards. Despite being intended for Imperial Navy service, it gained more fame as a Rebel Cruiser used by the Alliance to Restore the Republic, and its successor, the New Republic, throughout the Galactic Civil War.",,,
sw_marauder,SHIP,"The Marauder-class corvette was a 195-meter-long light capital ship introduced prior to the Clone Wars. The Rebel Alliance also employed a few of the ships, which were mostly acquired from the Corporate Sector through piracy. Many Alliance Marauders had their turbolasers replaced with Diamond boron missile launchers, turning them into much more capable combat vessels able to handle most targets from range.",,,
sw_dp20,SHIP,"The DP20 frigate was one of the few dedicated warship designs produced by Corellian Engineering Corporation, and was the most common member of the Corellian gunship product line. Though small and compact, it was fast and carried heavy firepower for a ship of its size and class.",,,
sw_cr90,SHIP,"CR90 corvettes were consular vessels manufactured by the Corellian Engineering Corporation. While the CR90 would see initial use within the late Galactic Republic and Imperial Senate, many vessels would be appropriated by the early rebellion and Rebel Alliance against the First Galactic Empire, despite not being designed as a combat-oriented vessel.",,,
sw_gr75,SHIP,"The GR-75 medium transport was a transport designed and constructed by Gallofree Yards, Inc.. They were lightly armed with a clamshell-like hull to protect the cargo pods it carried. They could not reach anymore than 650 kilometers per hour and had a class 4 hyperdrive.",,,
sw_yt1300,SHIP,"The YT-1300 light freighter was a type of light freighter manufactured by the Corellian Engineering Corporation that saw operation in the galaxy during the final days of the Galactic Republic and the reign of the Galactic Empire.The Millennium Falcon, a smuggling vessel that became part of the Rebel Alliance fleet, was a YT-1300 of the YT-1300f variety.",,,
sw_altor,SHIP,The Altor-class replenishment ship was an Imperial support ship class that carried fuel for other vessels in the Imperial Navy.,,,
sw_contentor,SHIP,The Contentor-class replenishment ship was an Imperial support ship class that carried fuel for other vessels in the Imperial Navy.,,,
sw_sentinel,SHIP,"A Sentinel-class landing craft, also known as a Sentinel-class shuttle or Imperial landing craft, was a large-scale troop transport utilized by the Galactic Empire.",,,
sw_lambda,SHIP,"The Lambda-class T-4a shuttle was a multi-purpose transport with a trihedral foil design used by the Galactic Empire during the Galactic Civil War, and was considered an elegant departure from the standards of brutish Imperial engineering.",,,
sw_aa9,SHIP,"The AA-9 Coruscant freighter, also known as the Botajef Freighter-Liner, was a massive freighter-model used to transport large groups of people to and from Coruscant.",,,
sw_action_vi,SHIP,"The Action VI transport, sometimes referred to as the bulk transport and the modified action transport, was a popular freighter built by Corellian Engineering Corporation.",,,
sw_bulk,SHIP,Bulk freighters were huge spaceships used to haul enormous cargo loads. Most of the ship's interior was occupied by cargo bays while the bridge and crew areas were often small and cramped.,,,
sw_consular_civil,SHIP,The Consular-class cruiser was a Corellian Engineering Corporation starship used by the Galactic Republic to transport Jedi and diplomats to troubled spots across the galaxy.,,,
sw_tug,SHIP,"The Utility Tug was a tiny spacecraft produced by Nicholas/Gordon Spacewerks, very similar in design to the Phylon Freight CT-11 space tug.",,,
sw_tie_fighter,SHIP,The TIE/LN starfighter was the standard Imperial starfighter seen in massive numbers throughout most of the Galactic Civil War and onward.,,,
sw_tie_interceptor,SHIP,"The TIE/IN interceptor was a type of TIE fighter used by the Galactic Empire, most notably during the Battle of Endor. The interceptor was identifiable by the addition of four arrow-shaped panels tipped with laser cannons.",,,
sw_tie_bomber,SHIP,"The TIE/sa bomber, formally known as the TIE Surface Assault Bomber was a bombing variant of the TIE line used by the Galactic Empire, and was their main source of anti-emplacement air-support.",,,
sw_tie_reaper,SHIP,The TIE/rp Reaper attack lander was a troop carrier variant of Sienar Fleet Systems's TIE line used by the Galactic Empire.,,,
sw_tie_aggressor,SHIP,The TIE/AG Aggressor starfighte was a multi-role superiority starfighter-strike fighter. Its specific role was a hybrid fighter/bomber.,,,
sw_tie_advanced,SHIP,The TIE Advanced x1 was an advanced prototype starfighter that was part of the TIE line manufactured by Sienar Fleet Systems.,,,
sw_tie_oppressor,SHIP,"The TIE Oppressor was a variant of the TIE Series of starfighters that was deployed in limited numbers among selected units of the Imperial Navy's starfighter cadre.
The TIE Oppressor It was designed to serve as a light bomber that could also be utilized as a fairly maneuverable fighter, similar to the Alliance Y-wing.",,,
sw_tie_automated,SHIP,"The TIE/D automated fighter was a TIE Series starfighter used by the reborn Emperor Palpatine during his attacks on the New Republic in 10 ABY.

Every TIE/D had an integrated Cybot Galactica Ace-6 droid brain which could be updated with new tactics.",,,
sw_tie_defender,SHIP,The TIE/D Defender was a high-performance TIE Series starfighter developed for the Imperial Navy by Sienar Fleet Systems in a project overseen by Grand Admiral Demetrius Zaarin shortly before the Battle of Endor.,,,
sw_tie_hunter,SHIP,The TIE/HU Hunter multi-role starfighter was a starfighter from the TIE Series used during the Galactic Civil War by the Galactic Empire.,,,
sw_tie_interdictor,SHIP,"The TIE/IT Interdictor starfighter was a heavy bomber in service to the Galactic Empire.

It had wings and a command module which were nearly identical to those found on a TIE/sa bomber and TIE Heavy Bomber. However, the command module was flanked on both sides by a pair of ordnance pods, for a total of four.",,,
sw_tie_predator,SHIP,"The Predator-class fighter, nicknamed Eyeballs was a starfighter produced by Sienar Fleet Systems and used by the New Galactic Empire as of 130 ABY.

Considered a successor to the older TIE/IN interceptor of more than a century before, the TIE Predator was still highly maneuverable and heavily armed, but unlike most previous TIEs, it was also equipped with hyperdrives and a deflector shield generated through its blade-shaped wings.",,,
sw_tie_phantom,SHIP,"The TIE/ph phantom was a prototype TIE Series starfighter developed by the Galactic Empire during the Galactic Civil War. A modified V38 assault fighter, the TIE phantom was the result of a development project led by Grand Admiral Martio Batch and was equipped with both deflector shields and a hyperdrive, along with a technology not seen for decades¡Xa stygium cloaking device.",,,
sw_tie_avenger,SHIP,"The TIE/ad starfighter, simply known as the TIE Advanced, was the culmination of a series of starfighter designs first explored with Darth Vader's TIE Advanced x1. To avoid confusion with Lord Vader's personal craft, it was known better by its nickname TIE Avenger.",,,
sw_x83_tl,SHIP,"The X-83 TwinTail starfighter was a model of X-wing series starfighter used before and during Darth Krayt's rise to power in 130 ABY.

 Manufactured by Incom Corporation, the X-83 was a cutting-edge vessel and the primary starfighter of the New Jedi Order until that organization's destruction following the Sith-Imperial War.",,,
sw_t85_xwing,SHIP,The T-85 X-wing was a next-generation model of the X-wing starfighter utilized by the New Republic Defense Fleet three decades after the Battle of Endor.,,,
sw_kwing,SHIP,"The BTL-S8 K-wing assault starfighter was a heavy starfighter/bomber. The K-wing assault starfighter was produced by Koensayr Manufacturing, the same company responsible for producing the venerable Y-wing.",,,
sw_uwing,SHIP,The UT-60D U-wing starfighter/support craft was a transport/gunship model manufactured by Incom Corporation and used by the Alliance to Restore the Republic during the Galactic Civil War.,,,
sw_t70_xwing,SHIP,"The T-70 X-wing starfighter was the successor to the T-65B X-wing starfighter, manufactured by Incom-FreiTek for use by the New Republic Defense Fleet.",,,
sw_ewing,SHIP,The E-7 E-wing multi-role starfighter was a single-pilot starfighter developed by FreiTek Inc. It was notable for being the first fighter designed entirely under the support of the New Republic.,,,
sw_bwing,SHIP,"The A/SF-01 B-wing starfighter was a heavily armed Rebel Alliance single-pilot starfighter and bomber manufactured by Slayn & Korpil. It was primarily designed as a ""blockade buster"" to attack and destroy large capital ships. As such, it was equipped with weaponry and systems normally reserved for much larger craft.",,,
sw_twing,SHIP,"The R-60 T-wing interceptor was an interceptor originally designed to replace the A-wing. Unfortunately for the Rebellion, the end result turned out to be a poor replacement for the craft.",,,
sw_t65b_xwing,SHIP,"X-wing starfighters were a type of starfighter marked by their distinctive S-foils that resembled the High Galactic script's character ""X"" in attack formation. They were heavily armed with four laser cannons on the S-foils and proton torpedo launchers in the fuselage.",,,
sw_awing,SHIP,"The RZ-1 A-wing interceptor was a wedge-shaped starfighter manufactured by Kuat Systems Engineering, which took design inspiration from the Republic starfighters of the Clone Wars.",,,
sw_ywing,SHIP,"The BTL Y-wing starfighter was a series of multi-role starfighter-bombers manufactured by Koensayr Manufacturing. Commissioned by the Galactic Republic during the Clone Wars, many surviving Y-wings would go on to serve with the Alliance to Restore the Republic during the Galactic Civil War.",,,
sw_zwing,SHIP,"The Z-95 Headhunter was a multi-purpose starfighter jointly manufactured by Incom Corporation and Subpro. Despite being considered outdated, the Z-95 was durable and adaptable to a variety of different roles, which led many to recognize it as a versatile and respectable snub-fighter of its era.",,,
sw_quad_turbolaser,WEAPON,The quad turbolaser cannon (also called quad turbolaser battery) was a heavier version of the quad laser cannon designed for cruisers.,Assault,,
sw_quad_heavy,WEAPON,The quad heavy turbolaser cannon was a heavier version of the quad turbolaser cannon designed for battlecruisers and dreadnoughts.,Assault,,
sw_oct_turbolaser,WEAPON,"An octuple barbette turbolaser was a weapons-system installed on Imperial II-class Star Destroyers.

The turbolaser cannon was marked by eight individual barrels arranged in rows of four on a barbette mounting.",Assault,,
sw_dual_turbolaser_heavy,WEAPON,The XX-9 heavy turbolaser was a shipboard emplacement weapon produced by Taim & Bak.,Assault,,
sw_dual_turbolaser,WEAPON,The XX-8 turbolaser was a shipboard emplacement weapon produced by Taim & Bak.,Assault,,
sw_ball_ion_cannon,WEAPON,Ion cannons were a form of armament that fired ionized particles capable of disrupting electronic systems.,Suppression,,
sw_nk7_ion_cannon,WEAPON,"The Borstel Galactic Defense NK-7 ion cannon was a powerful ship-based weapon used on Imperial capital ships, especially Imperial Star Destroyers. A volley from these weapons could disable a ship for several minutes.",Suppression,,
sw_laser_cannon,WEAPON,A laser cannon was the standard weapon for use by most starships and other vehicles.,Point Defence,,
sw_ls72_laser_caonnon,WEAPON,"The L-s7.2 laser cannon was a laser cannon that was equipped on TIE fighters.

It was an improved design over the earlier L-s1 laser cannon that offered a lower recycle time and faster rate of fire.",Assault,,
sw_ls92_laser_cannon,WEAPON,"More destructive than the new but more common Sienar Fleet Systems L-s7.2 laser cannon, it had the power to destroy small asteroids in one shot.",Assault,,
sw_nk3_ion_cannon,WEAPON,The NK-3 ion cannon was a type of starfighter-scale ion cannon that was manufactured by Borstel Galactic Defense.,Suppression,,
sw_tb_dual_turbolaser_heavy,WEAPON,The Taim & Bak Dual Heavy Turbolaser used by the Rebel Alliance and the New Republic.,,,
sw_tb_dual_turbolaser,WEAPON,The Taim & Bak Dual Turbolaser used by the Rebel Alliance and the New Republic.,,,
sw_tb_turbolaser,WEAPON,The Taim & Turbolaser used by the Rebel Alliance and New Republic.,,,
sw_h9_turbolaser,WEAPON,The H9 turbolaser was a shipboard emplacement weapon produced by Taim & Bak.,,,
sw_tb_laser_cannon,WEAPON,The Taim & Bak Laser Cannon used by the Rebel Alliance and the New Republic.,,,
sw_dual_ion_cannon,WEAPON,The Dual Ion Cannon used by the Rebel Alliance and the New Republic.,,,
sw_kx12_laser_cannon,WEAPON,"The KX9 laser cannon was a laser cannon manufactured by the Taim & Bak company. The KX9 laser cannon consisted of four parts; the laser cannon, laser barrel, flashback suppressor, and the laser tip.",,,
sw_kx9_laser_cannon,WEAPON,The KX12 laser cannon was a type of laser cannon produced by Taim & Bak. The Incom-FreiTek T-70 X-wing starfighter was equipped with four wing-mounted KX12 cannons.,,,
sw_mg7,WEAPON,The MG7-A proton torpedo was a type of proton torpedo produced by the weapons manufacturing company Krupx. ,Strike,,
sw_proton_torpedo,WEAPON,"The proton torpedo was a type of ordnance used throughout the galaxy.
Some advanced versions possessed target-locking abilities, some of these more advanced than others.",Strike,,
sw_concussion_missile,WEAPON,"A concussion missile was a short-range, winged or wingless anti-vehicle missile generally deployed by starship- or vehicle-mounted launchers.",Anti-fighter,,
sw_concussion_missile_heavy,WEAPON,"A heavy concussion missile was a short-range, winged or wingless anti-vehicle missile generally deployed by starship.",Anti-fighter,,
sw_empire,FACTION,"The Galactic Empire, also known as the First Galactic Empire,  was the fascist galactic government that replaced the Galactic Republic in the aftermath of the Clone Wars and ushered galactic civilization into a new age.",,,
sw_rebel,FACTION,"The New Republic, (4 ABY¡V28 ABY) was the name of the galactic government established by the Alliance to Restore the Republic to replace the Galactic Empire after the Battle of Endor.",,,
ecumenopolis,PLANET,"Ecumenopolis is the hypothetical concept of a planetwide city. The word was invented in 1967 by the Greek city planner Constantinos Apostolou Doxiadis to represent the idea that in the future urban areas and megalopolises would eventually fuse and there would be a single continuous worldwide city as a progression from the current urbanization, population growth, transport and human networks.",,,
planet_coruscant,CUSTOM,"Coruscant also known as Imperial Center during the rule of the Galactic Empire, was an ecumenopolis¡Xa city-covered planet, collectively known as Galactic City¡X in the Coruscant system of the Core Worlds. 

Though debated by historians, it was generally believed that Coruscant was the original homeworld of humanity. Noted for its cosmopolitan culture and towering skyscrapers, Coruscant's population consisted of approximately one trillion citizens hailing from a vast array of both humanoid and alien species. ",,,
station_coruscant,CUSTOM,Coruscant One was a space station above Coruscant in 23 ABY during the New Republic era. It contained a control tower and Gamma Section which presumably held Gamma-class Assault Shuttles.,,,
planet_byss,CUSTOM,"Byss was a planet in the Deep Core, near the center of the galaxy, discovered no earlier than 45 BBY. A local day lasted 31 standard hours, and a local year lasted 207 local days. It was the endpoint of the Byss Run.

Byss itself was somewhat of a myth, seeming to be the perfect place to live. Its eerie blue-green glow, caused by its sun, also added to the strangeness of the world. Despite this outward appearance, however, Emperor Palpatine's dark-side energies were everywhere, corrupting not only the inhabitants, but the planet itself.",,,
station_kuat,CUSTOM,"The Kuat shipyards consisted of a massive space station which encircled the Core planet Kuat, utilized by Kuat Drive Yards. There, Kuat Yards manufactured all manner of vehicles for the Galactic Empire.",,,
planet_chandrila,CUSTOM,"Chandrila was the second planet in the Chandrila system of the Bormea sector, located in the Core Worlds, along the Perlemian Trade Route. It was the homeworld of Rebel Alliance leader and later New Republic Chief of State Mon Mothma. ChandrilTech was headquartered on Chandrila.",,,
station_chandrila,CUSTOM,The Chandrila Orbital Station was a space station that orbited the planet Chandrila during the Cold War between the Galactic Republic and the reconstituted Sith Empire.,,,
planet_mon_cala,CUSTOM,"Mon Cala, also known as Mon Calamari or Dac, was an oceanic planet located in the Mon Calamari system, a binary star system positioned in the Calamari sector of the galaxy's Outer Rim Territories.",,,
planet_hoth,CUSTOM,"Hoth was a remote, icy planet that was the sixth planet in the star system of the same name. It notably hosted Echo Base, the temporary headquarters of the Alliance to Restore the Republic, until the Galactic Empire located the Rebels, initiating a major confrontation known as the Battle of Hoth.",,,
station_mon_cala,CUSTOM,"The Mon Calamari Shipyards were a Dac-based manufacturer of numerous space transports and warships. Over four thousand years old by the time of the Galactic Civil War, the shipyards were renowned for their elegant, streamlined ship designs, characterised by bespoke production, unique engineering, and a sculpted, organic hullform. Though originally focused on exploration vessels and luxury liners, Mon Calamari designs emphasised powerful defenses.",,,
sw_concentratefire,SHIP_SYSTEM,"Briefly increases the fire rate and damage dealt by all energy weapons. The capacitor array stores multiple charges, which are slowly regenerated.",Offensive,Briefly increases the fire rate damage dealt by all energy weapons.,
sw_shieldsboost,SHIP_SYSTEM,"Redirects 80% power from the weapon systems to shields, greatly increasing the efficiency at which damage is absorbed. This process generates hard flux at a steady rate even if the shields are not taking any fire.",Defensive,"Reduces the damage taken by shields to a minimum, but generates hard flux while active. Energy weapons output highly reduced.",
