id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order
sw_golan_ii_blacksun,Black Sun Golan II Space Defense SpaceGun,50,90,,3,,sw_golan_iii_blacksun,"station, sub_item, unraidable, structure","{
radius:55,
variant:sw_station_golan_ii_blacksun,
fleetName:Golan II Space Defense SpaceGun,
}",graphics/icons/industry/sw_golan_ii.png,data.scripts.campaign.industry.SWOrbitalStationBlackSun,"The Golan II Space Defense SpaceGun, also known simply as the Golan II, was the second space station in Golan Arms' series of space defense platforms.

Must be reduced before invasions or bombardment can be attempted.",2010
,,,,,,,,,,,,,
sw_golan_iii_blacksun,Black Sun Golan III Space Defense NovaGun,100,120,,4,sw_golan_ii_blacksun,,"station, battlestation, unraidable, structure","{
radius:65,
variant:sw_station_golan_iii_blacksun,
fleetName:Golan III Space Defense NovaGun,
}",graphics/icons/industry/sw_golan_iii.png,data.scripts.campaign.industry.SWOrbitalStationBlackSun,"Built as a more powerful successor to the dangerous Golan II, the Golan III was larger and arguably better armed than an Imperial-class Star Destroyer.

Must be reduced before invasions or bombardment can be attempted.",2020
,,,,,,,,,,,,,
,,,,,,,,,,,,,
sw_shieldgate_firstorder,First Order Golan M3185 Shield Gate,50,90,,3,,sw_golan_iii_firstorder,"station, sub_item, unraidable, structure","{
radius:55,
variant:sw_station_shieldgate_firstorder,
fleetName:Golan M3185 Shield Gate,
}",graphics/icons/industry/sw_shieldgate.png,data.scripts.campaign.industry.SWOrbitalStationFirstOrder,"The Golan M3185 was a class of wheel-shaped space station of the Galactic Empire that was used for planetary defense.

Must be reduced before invasions or bombardment can be attempted.",2010
,,,,,,,,,,,,,
sw_golan_iii_firstorder,First Order Golan III Space Defense NovaGun,100,120,,4,sw_shieldgate_firstorder,sw_shipyards_firstorder,"station, battlestation, unraidable, structure","{
radius:65,
variant:sw_station_golan_iii_firstorder,
fleetName:Golan III Space Defense NovaGun,
}",graphics/icons/industry/sw_golan_iii.png,data.scripts.campaign.industry.SWOrbitalStationFirstOrder,"Built as a more powerful successor to the dangerous Golan II, the Golan III was larger and arguably better armed than an Imperial-class Star Destroyer.

Must be reduced before invasions or bombardment can be attempted.",2020
,,,,,,,,,,,,,
sw_shipyards_firstorder,First Order Dockyards,200,180,,5,sw_golan_iii_firstorder,,"station, starfortress, unraidable, structure","{
radius:70,
variant:sw_station_shipyards_firstorder,
fleetName:Imperial Dockyards
}",graphics/icons/industry/sw_shipyards.png,data.scripts.campaign.industry.SWOrbitalStationFirstOrder,"Imperial dockyards were a class of space stations servicing and attending to its many starships.

Must be reduced before invasions or bombardment can be attempted.",2030
,,,,,,,,,,,,,
,,,,,,,,,,,,,
sw_shieldgate_chiss,Asscendancy Golan M3185 Shield Gate,50,90,,3,,sw_golan_iii_chiss,"station, sub_item, unraidable, structure","{
radius:55,
variant:sw_station_shieldgate_chiss,
fleetName:Golan M3185 Shield Gate,
}",graphics/icons/industry/sw_shieldgate.png,data.scripts.campaign.industry.SWOrbitalStationChiss,"The Golan M3185 was a class of wheel-shaped space station of the Galactic Empire that was used for planetary defense.

Must be reduced before invasions or bombardment can be attempted.",2010
,,,,,,,,,,,,,
sw_golan_iii_chiss,Ascendancy Golan III Space Defense NovaGun,100,120,,4,sw_shieldgate_chiss,sw_shipyards_chiss,"station, battlestation, unraidable, structure","{
radius:65,
variant:sw_station_golan_iii_chiss,
fleetName:Golan III Space Defense NovaGun,
}",graphics/icons/industry/sw_golan_iii.png,data.scripts.campaign.industry.SWOrbitalStationChiss,"Built as a more powerful successor to the dangerous Golan II, the Golan III was larger and arguably better armed than an Imperial-class Star Destroyer.

Must be reduced before invasions or bombardment can be attempted.",2020
,,,,,,,,,,,,,
sw_shipyards_chiss,Chiss Ascendancy Dockyards,200,180,,5,sw_golan_iii_chiss,,"station, starfortress, unraidable, structure","{
radius:70,
variant:sw_station_shipyards_chiss,
fleetName:Imperial Dockyards
}",graphics/icons/industry/sw_shipyards.png,data.scripts.campaign.industry.SWOrbitalStationChiss,"Imperial dockyards were a class of space stations servicing and attending to its many starships.

Must be reduced before invasions or bombardment can be attempted.",2030
